风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,373807
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,435049
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,482326
纵横四海,吴宇森 John Woo,1991,8.8,449787
疯狂的石头,宁浩 Hao Ning,2006,8.6,871921
无间道2,刘伟强 / 麦兆辉,2003,8.8,520712
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,348362
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,360742
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,245515
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,635023
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,853976
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,575230
岁月神偷,罗启锐 Alex Law,2010,8.7,593154
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.8,468806
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,9.2,206565
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.6,649622
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,332070
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,924995
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.7,625353
东京教父,今敏 Satoshi Kon,2003,9.0,257659
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,491543
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,508087
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,497235
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,775750
末路狂花,雷德利·斯科特 Ridley Scott,1991,8.9,295236
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,603353
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,351990
可可西里,陆川 Chuan Lu,2004,8.9,322327
源代码,邓肯·琼斯 Duncan Jones,2011,8.5,877332
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,579412
城市之光,Charles Chaplin,1931,9.3,158502
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,595350
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,811397
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,647558
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.5,768390
高山下的花环,谢晋 Jin Xie,1984(中国大陆) / 1985,9.5,118737
芙蓉镇,谢晋 Jin Xie,1987,9.3,161356
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,1011014
青蛇,徐克 Hark Tsui,1993,8.6,556595
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,423066
初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010",1991,8.8,360598
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,472699
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,275167
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,710239
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,714303
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,512762
新龙门客栈,李惠民 Raymond Lee,1992,8.7,472133
罗生门,黑泽明 Akira Kurosawa,1950,8.8,335026
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,534861
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,322788
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.6,625064
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,630160
白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,560677
萤火虫之墓,高畑勋 Isao Takahata,1988,8.7,420992
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,428654
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,574836
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,779468
二十二,郭柯 Ke Guo,2015,8.7,302691
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,320210
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,390921
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.5,620806
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,400580
千年女优,今敏 Satoshi Kon,2001,8.8,292754
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,299064
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,373665
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,383834
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,293985
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,711119
弱点,约翰·李·汉考克 John Lee Hancock,2009,8.7,333325
谍影重重,道格·里曼 Doug Liman,2002,8.6,454513
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,8.6,470828
阿飞正传,王家卫 Kar Wai Wong,1990,8.5,539888
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,8.9,240152
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,8.5,744581
